entity,column,data_type,is_primary_key,null_count,null_pct,unique_values,sample_value
sales_order_headers,sales_order,int64,True,0,0.0,100,740506
sales_order_headers,sales_order_type,object,False,0,0.0,1,OR
sales_order_headers,sales_organization,object,False,0,0.0,1,ABCD
sales_order_headers,distribution_channel,int64,False,0,0.0,2,5
sales_order_headers,organization_division,int64,False,0,0.0,1,99
sales_order_headers,sales_group,object,False,100,100.0,0,
sales_order_headers,sales_office,object,False,100,100.0,0,
sales_order_headers,sold_to_party,int64,False,0,0.0,8,310000108
sales_order_headers,creation_date,"datetime64[ns, UTC]",False,0,0.0,2,2025-03-31 00:00:00+00:00
sales_order_headers,created_by_user,object,False,0,0.0,2,USER786
sales_order_headers,last_change_date_time,"datetime64[ns, UTC]",False,0,0.0,100,2025-03-31 06:42:38.786000+00:00
sales_order_headers,total_net_amount,float64,False,0,0.0,63,17108.25
sales_order_headers,overall_delivery_status,object,False,0,0.0,2,C
sales_order_headers,overall_ord_reltd_billg_status,object,False,100,100.0,0,
sales_order_headers,overall_sd_doc_reference_status,object,False,100,100.0,0,
sales_order_headers,transaction_currency,object,False,0,0.0,1,INR
sales_order_headers,pricing_date,"datetime64[ns, UTC]",False,0,0.0,2,2025-03-31 00:00:00+00:00
sales_order_headers,requested_delivery_date,"datetime64[ns, UTC]",False,0,0.0,2,2025-03-31 00:00:00+00:00
sales_order_headers,header_billing_block_reason,object,False,100,100.0,0,
sales_order_headers,delivery_block_reason,object,False,100,100.0,0,
sales_order_headers,incoterms_classification,object,False,0,0.0,1,FOR
sales_order_headers,incoterms_location1,object,False,0,0.0,2,Millerborough
sales_order_headers,customer_payment_terms,object,False,0,0.0,2,Z009
sales_order_headers,total_credit_check_status,object,False,100,100.0,0,
sales_order_items,sales_order,int64,True,0,0.0,100,740506
sales_order_items,sales_order_item,int64,True,0,0.0,12,10
sales_order_items,sales_order_item_category,object,False,0,0.0,1,TAN
sales_order_items,material,object,False,0,0.0,69,S8907367001003
sales_order_items,requested_quantity,int64,False,0,0.0,11,48
sales_order_items,requested_quantity_unit,object,False,0,0.0,1,PC
sales_order_items,transaction_currency,object,False,0,0.0,1,INR
sales_order_items,net_amount,float64,False,0,0.0,79,9966.1
sales_order_items,material_group,object,False,0,0.0,2,ZFG1001
sales_order_items,production_plant,object,False,0,0.0,7,1920
sales_order_items,storage_location,float64,False,13,7.7844311377245505,7,5101.0
sales_order_items,sales_document_rjcn_reason,object,False,137,82.03592814371258,1,61
sales_order_items,item_billing_block_reason,object,False,167,100.0,0,
sales_order_schedule_lines,sales_order,int64,True,0,0.0,100,740506
sales_order_schedule_lines,sales_order_item,int64,True,0,0.0,12,10
sales_order_schedule_lines,schedule_line,int64,True,0,0.0,2,1
sales_order_schedule_lines,confirmed_delivery_date,"datetime64[ns, UTC]",False,12,6.70391061452514,3,2025-03-31 00:00:00+00:00
sales_order_schedule_lines,order_quantity_unit,object,False,0,0.0,1,PC
sales_order_schedule_lines,confd_order_qty_by_matl_avail_check,int64,False,0,0.0,12,48
outbound_delivery_headers,actual_goods_movement_date,"datetime64[ns, UTC]",False,83,96.51162790697674,2,2025-04-29 00:00:00+00:00
outbound_delivery_headers,actual_goods_movement_time,datetime64[ns],False,86,100.0,0,
outbound_delivery_headers,creation_date,"datetime64[ns, UTC]",False,0,0.0,3,2025-03-31 00:00:00+00:00
outbound_delivery_headers,creation_time,datetime64[ns],False,86,100.0,0,
outbound_delivery_headers,delivery_block_reason,object,False,86,100.0,0,
outbound_delivery_headers,delivery_document,int64,True,0,0.0,86,80737721
outbound_delivery_headers,hdr_general_incompletion_status,object,False,0,0.0,1,C
outbound_delivery_headers,header_billing_block_reason,object,False,86,100.0,0,
outbound_delivery_headers,last_change_date,"datetime64[ns, UTC]",False,3,3.488372093023256,3,2025-07-24 00:00:00+00:00
outbound_delivery_headers,overall_goods_movement_status,object,False,0,0.0,2,A
outbound_delivery_headers,overall_picking_status,object,False,0,0.0,1,C
outbound_delivery_headers,overall_proof_of_delivery_status,object,False,86,100.0,0,
outbound_delivery_headers,shipping_point,object,False,0,0.0,5,1920
outbound_delivery_items,actual_delivery_quantity,int64,False,0,0.0,11,1
outbound_delivery_items,batch,object,False,24,17.51824817518248,1,ABCD
outbound_delivery_items,delivery_document,int64,True,0,0.0,86,80738076
outbound_delivery_items,delivery_document_item,int64,True,0,0.0,12,10
outbound_delivery_items,delivery_quantity_unit,object,False,0,0.0,1,PC
outbound_delivery_items,item_billing_block_reason,object,False,137,100.0,0,
outbound_delivery_items,last_change_date,datetime64[ns],False,137,100.0,0,
outbound_delivery_items,plant,object,False,0,0.0,5,WB05
outbound_delivery_items,reference_sd_document,int64,False,0,0.0,86,740556
outbound_delivery_items,reference_sd_document_item,int64,False,0,0.0,12,10
outbound_delivery_items,storage_location,float64,False,13,9.489051094890511,5,5031.0
billing_document_headers,billing_document,int64,True,0,0.0,163,90504248
billing_document_headers,billing_document_type,object,False,0,0.0,2,F2
billing_document_headers,creation_date,"datetime64[ns, UTC]",False,0,0.0,4,2025-04-03 00:00:00+00:00
billing_document_headers,creation_time,datetime64[ns],False,163,100.0,0,
billing_document_headers,last_change_date_time,"datetime64[ns, UTC]",False,0,0.0,84,2025-04-03 11:31:37.331000+00:00
billing_document_headers,billing_document_date,"datetime64[ns, UTC]",False,0,0.0,3,2025-04-02 00:00:00+00:00
billing_document_headers,billing_document_is_cancelled,bool,False,0,0.0,2,False
billing_document_headers,cancelled_billing_document,object,False,83,50.920245398773005,80,90678703
billing_document_headers,total_net_amount,float64,False,0,0.0,47,216.1
billing_document_headers,transaction_currency,object,False,0,0.0,1,INR
billing_document_headers,company_code,object,False,0,0.0,1,ABCD
billing_document_headers,fiscal_year,int64,False,0,0.0,1,2025
billing_document_headers,accounting_document,int64,False,0,0.0,163,9400000249
billing_document_headers,sold_to_party,int64,False,0,0.0,4,320000083
billing_document_items,billing_document,int64,True,0,0.0,163,90504298
billing_document_items,billing_document_item,int64,True,0,0.0,12,10
billing_document_items,material,object,False,0,0.0,55,B8907367041603
billing_document_items,billing_quantity,int64,False,0,0.0,2,1
billing_document_items,billing_quantity_unit,object,False,0,0.0,1,PC
billing_document_items,net_amount,float64,False,0,0.0,53,533.05
billing_document_items,transaction_currency,object,False,0,0.0,1,INR
billing_document_items,reference_sd_document,int64,False,0,0.0,83,80738109
billing_document_items,reference_sd_document_item,int64,False,0,0.0,12,10
billing_document_cancellations,billing_document,int64,False,0,0.0,1,90504274
billing_document_cancellations,billing_document_type,object,False,0,0.0,1,F2
billing_document_cancellations,creation_date,"datetime64[ns, UTC]",False,0,0.0,1,2025-04-03 00:00:00+00:00
billing_document_cancellations,creation_time,datetime64[ns],False,1,100.0,0,
billing_document_cancellations,last_change_date_time,"datetime64[ns, UTC]",False,0,0.0,1,2025-07-24 11:42:30.485000+00:00
billing_document_cancellations,billing_document_date,"datetime64[ns, UTC]",False,0,0.0,1,2025-04-02 00:00:00+00:00
billing_document_cancellations,billing_document_is_cancelled,bool,False,0,0.0,1,True
billing_document_cancellations,cancelled_billing_document,object,True,1,100.0,0,
billing_document_cancellations,total_net_amount,float64,False,0,0.0,1,253.39
billing_document_cancellations,transaction_currency,object,False,0,0.0,1,INR
billing_document_cancellations,company_code,object,False,0,0.0,1,ABCD
billing_document_cancellations,fiscal_year,int64,False,0,0.0,1,2025
billing_document_cancellations,accounting_document,int64,False,0,0.0,1,9400000275
billing_document_cancellations,sold_to_party,int64,False,0,0.0,1,320000083
journal_entry_items_accounts_receivable,company_code,object,True,0,0.0,1,ABCD
journal_entry_items_accounts_receivable,fiscal_year,int64,True,0,0.0,1,2025
journal_entry_items_accounts_receivable,accounting_document,int64,True,0,0.0,123,9400000220
journal_entry_items_accounts_receivable,gl_account,int64,False,0,0.0,1,15500020
journal_entry_items_accounts_receivable,reference_document,int64,False,0,0.0,123,90504219
